number,kind,wcag22_status,level,wcag22_en,wcag22_ja,jis2016_ja,wcag20_initial_ja,wcag20_revised_ja,wcag21_ja,wcag22_url,waic_url,workbook_row
5.1,conformance_section,active,,Interpreting Normative Requirements,規定要件の解釈,,,,,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#interpreting-normative-requirements,https://waic.jp/translations/WCAG22/#interpreting-normative-requirements,108
5.2,conformance_section,active,,Conformance Requirements,適合要件,適合要件,,,,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#conformance-reqs,https://waic.jp/translations/WCAG22/#conformance-reqs,109
5.2.1,conformance_section,active,,Conformance Level,適合レベル,適合レベル,,,,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#cc1,https://waic.jp/translations/WCAG22/#cc1,110
5.2.2,conformance_section,active,,Full pages,ページ全体,ウェブページ全体,,,,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#cc2,https://waic.jp/translations/WCAG22/#cc2,111
5.2.3,conformance_section,active,,Complete processes,プロセス全体,プロセス全体,,,,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#cc3,https://waic.jp/translations/WCAG22/#cc3,112
5.2.4,conformance_section,active,,Only Accessibility-Supported Ways of Using Technologies,技術のアクセシビリティ サポーテッドな使用方法だけ,技術のアクセシビリティ サポーテッドな使用方法だけ,,,,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#cc4,https://waic.jp/translations/WCAG22/#cc4,113
5.2.5,conformance_section,active,,Non-Interference,非干渉,非干渉,,,,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#cc5,https://waic.jp/translations/WCAG22/#cc5,114
5.3,conformance_section,active,,Conformance Claims (Optional),適合表明 (任意),適合表明 (任意),,,,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#conformance-claims,https://waic.jp/translations/WCAG22/#conformance-claims,115
5.3.1,conformance_section,active,,Required Components of a Conformance Claim,適合表明の必須要素,適合表明の必須要素,,,,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#conformance-required,https://waic.jp/translations/WCAG22/#conformance-required,116
5.3.2,conformance_section,active,,Optional Components of a Conformance Claim,適合表明の任意要素,適合表明の任意要素,,,,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#conformance-optional,https://waic.jp/translations/WCAG22/#conformance-optional,117
5.4,conformance_section,active,,Statement of Partial Conformance - Third Party Content,部分適合の宣言 － 第三者によるコンテンツ,部分適合に関する記述 - 第三者によるコンテンツ,,,,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#conformance-partial,https://waic.jp/translations/WCAG22/#conformance-partial,118
5.5,conformance_section,active,,Statement of Partial Conformance - Language,部分適合の宣言 － 言語,部分適合に関する記述 - 言語,,,,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#conformance-partial-lang,https://waic.jp/translations/WCAG22/#conformance-partial-lang,119
